company,any_continuity,grouping
CBI Industries,,
CBRE Group,,
CBS,,
CC Media Holdings,,
CDW,,
Ceco Industries,,
Celanese,,
Celgene,,
Celotex,,
Cenco,,
Cendant,,
CENEX,,
Centene,,
Centerior Energy,,
CenterPoint Energy,,
Centex,,
Central & South West,,
Central Soya,,
CenturyLink,,
CenturyTel,,
Cerro,,
Certainteed,,
Cessna Aircraft,,
CF Industries,yes,
CF Industries Holdings,yes,
CF&I Steel,,
CH2M Hill,,
Champion Home Builders,,
Champion International,,
Champion Papers,,
Champion Spark Plug,,
Champlin Oil & Refining,,
Chance Vought,,
Charles Schwab,,
Charter,,
Charter Communications,,
Chase Manhattan Corp.,,
Chemed,,
Chemetron,,
Chemours,,
Chemstrand,,
Cheniere Energy,,
Chesapeake,yes,
Chesapeake Energy,yes,
Chesebrough-Pond's,,
Chevron,yes,
ChevronTexaco,yes,
Chicago Pacific,,
Chicago Pneumatic Tool,,
Chiquita Brands International,yes,40
Chiquita Brands Intl.,yes,40
Chromalloy American,,
Chrysler,yes,
Chrysler Group,yes,
CHS,yes,
CHS Electronics,yes,
Chubb,,
Cigna,,
Cincinnati Financial,,
Cincinnati Milacron,,
Cinergy,,
Cintas,,
Circle K,,
Circuit City Stores,,
Cisco Systems,,
CIT Group,,
Citgo Petroleum,,
Citicorp,,
Citigroup,,
Citizens Financial Group,,
City Investing,,
City Products,,
Clark Equipment,,
Clear Channel Communications,,
Cletrac,,
Cleveland-Cliffs,,
Clevite,yes,
Clevite Industries,yes,
Cliffs Natural Resources,,
Climax Molybdenum,,
Clinton Foods,,
Clorox,,
Cluett Peabody,,
CMS Energy,,
CNF,,
Coach,,
Coachmen Industries,,
Coastal,,
Coca-Cola,yes,
Coca-Cola Bottling,yes,44
Coca-Cola Bottling Co. of New York,yes,44
Coca-Cola Enterprises,yes,
Coca-Cola European Partners,yes,
Cognizant Technology Solutions,,
Coleco Industries,,
Coleman,,
Colgate-Palmolive,,
College Retirement Equities Fund,,
Collins & Aikman,,
Collins Radio,,
Colorado Milling & Elevator,,
Coltec Industries,,
Columbia Energy Group,,
Columbia Pictures Industries,,
Columbia/HCA Healthcare,,
Columbian Carbon,,
Combustion Engineering,,
Comcast,,
Comdisco Holding,,
Comerica,,
Commerce Clearing House,,
Commercial Metals,,
Commercial Solvents,,
Commonwealth Oil Refining,,
Commonwealth United,,
Community Health Sys.,yes,45
Community Health Systems,yes,45
Compaq Computer,,
CompUSA,,
Computer Assoc. Intl.,,
Computer Sciences,,
Computervision,,
Con-way,,
Conagra Brands,,
ConAgra Foods,,
Conduent,,
Cone Mills,,
Conectiv,,
Congoleum,,
Conner Peripherals,,
Conoco,,
ConocoPhillips,,
Conrail,,
Conseco,,
Consol Energy,,
Consolidated Aluminum,,
Consolidated Cigar,,
Consolidated Coppermines,,
Consolidated Edison,,
Consolidated Natural Gas,,
Consolidated Papers,,
Consolidation Coal,,
Constar International,,
Constellation Brands,,
Constellation Energy,,
Container Corp. of America,,
Continental,yes,
Continental Airlines,yes,
Continental Baking,yes,
Continental Copper & Industries,yes,
Continental Foundry & Machine,yes,
Continental Group,yes,
Continental Motors,yes,
Control Data,,
Cook Industries,,
Cooper Cos.,yes,
Cooper Industries,yes,
Cooper Labs,yes,
Cooper Tire & Rubber,yes,
Cooper-Bessemer,yes,
Copperweld,yes,
Copperweld Steel,yes,
Core-Mark Holding,yes,
Core-Mark International,yes,
CoreStates Financial Corp.,,
Corn Products International,,
Corning,,
Corporate Express,,
Cosden Petroleum,,
Costco,yes,
Costco Wholesale,yes,
Cotton Producers Association,,
Coty,,
Countrywide Financial,,
Coventry Health Care,,
Cowles Communications,,
Cox Communications,,
Crane,,
Cray Research,,
Crestline Capital,,
Crosstex Energy,,
Crouse-Hinds,,
Crowell-Collier Publishing,,
Crown Central,,
Crown Holdings,,
Crown Zellerbach,,
Crucible Steel,,
Crystal Brands,,
CST Brands,,
CSX,,
Cuban Atlantic Sugar,,
Cuban-American Sugar,,
Cudahy,,
Cummins,,
Curtis Publishing,,
Curtiss-Wright,,
Cutler-Hammer,,
CVR Energy,,
CVS,yes,
CVS Caremark,yes,20
CVS Health,yes,
CVS/Caremark,yes,20
Cyclops Industries,,
Cyprus Amax Minerals,,
D.R. Horton,,
Dairylea Cooperative,,
Dan River,,
Dana,yes,
Dana Holding,yes,
Danaher,,
Danly Machine Specialties,,
Darden Restaurants,,
Dart Industries,,
Data General,,
Datapoint,,
Dataproducts,,
DaVita,yes,
DaVita HealthCare Partners,yes,
Dayco,,
Daystrom,,
DCP Midstream,,
Dean Foods,,
Deere,,
Del Monte Foods,,
Delek US Holdings,,
Delhi-Taylor Oil,,
Dell,yes,
Dell Technologies,yes,
Delphi,,
Delta Air Lines,,
Delta Woodside Industries,,
Deluxe,,
Dennison Manufacturing,,
Denny's,,
DeSoto,,
Detroit Diesel,,
Detroit Steel,,
Devon Energy,,
Dexter,,
Di Giorgio,,
Diamond International,,
Diamond Shamrock,,
Diamond-Bathurst,,
Dick's Sporting Goods,yes,51
Dick’s Sporting Goods,yes,51
Diebold,,
Digital Equipment,,
Dillard's,yes,52
Dillard’s,yes,52
DIMON,,
DirecTV,yes,
DIRECTV Group,yes,53
DirecTV Group,yes,53
